Hill Name,Height,Latitude,Longitude,Osgrid
Carn an t-Sagairt Mor,1047,56.942973,-3.303227,NO208842
Carn an Tuirc,1019,56.908282,-3.357142,NO174804
Carn Aosda,915.3,56.895696,-3.423274,NO133791
Carn Bhac,945.1,56.930541,-3.56088,NO051832
Carn Dearg,1034,56.855242,-4.454693,NN504764
Carn Dearg,945.7,57.092261,-4.253246,NH635023
Carn Dearg,941,56.759931,-4.589888,NN417661
Carn Eige (Carn Eighe),1182.8,57.287701,-5.115159,NH123261
Carn Ghluasaid,957,57.16595,-5.068158,NH145125
Carn Gorm,1029,56.622599,-4.226073,NN635500
Carn Liath,1006,56.978784,-4.515305,NN472903
Carn Mairg,1042,56.634617,-4.145607,NN684512
Carn Mor Dearg,1220,56.805246,-4.986616,NN177721
Carn na Caim,940.8,56.911739,-4.174478,NN677821
Carn nan Gobhar,993,57.363304,-5.024544,NH181343
Carn nan Gobhar,992,57.452331,-4.879935,NH273438
Carn Sgulain,920.3,57.124371,-4.176986,NH683058
Chno Dearg,1046,56.830086,-4.660831,NN377741
Ciste Dhubh,979,57.199243,-5.209016,NH062166
Cona' Mheall,978,57.791068,-4.9034,NH275816
Conival,987,58.135689,-4.883497,NC303199
Creag a' Mhaim,946,57.120971,-5.160048,NH087077
Creag Leacach,988.2,56.854631,-3.387751,NO154745
Creag Meagaidh,1128,56.952033,-4.602101,NN418875
Creag Mhor,1047,56.489519,-4.614022,NN391361
Creag nan Damh,918,57.147263,-5.334597,NG983112
Creag Pitridh,924,56.899713,-4.484955,NN487814
Creise,1099.8,56.614449,-4.871979,NN238506
Cruach Ardrain,1045.9,56.356429,-4.576151,NN409212
Derry Cairngorm,1155,57.062801,-3.622004,NO017980
Driesh,947,56.847985,-3.196538,NO271735
Druim Shionnach,987,57.126803,-5.182842,NH074084
Eididh nan Clach Geala,927,57.813492,-4.934218,NH257842
Fionn Bheinn,933,57.611148,-5.102713,NH147621
Gairich,919,57.044879,-5.255827,NN025995
Garbh Chioch Mhor,1013,57.008556,-5.444338,NM909961
Geal Charn,1049,56.897763,-4.457236,NN504811
Geal Charn,926,57.057418,-4.373572,NN561987
Geal-charn,1132,56.837836,-4.50971,NN469746
Geal-charn,917.1,56.874433,-4.304519,NN596782
Glas Bheinn Mhor,997,56.542389,-5.005249,NN153429
Glas Maol,1068,56.873059,-3.368236,NO166765
Glas Tulaichean,1051,56.865757,-3.558163,NO051760
Gleouraich,1035,57.097163,-5.238035,NH039053
Gulvain (Gaor Bheinn),987,56.936202,-5.284526,NN002875
Ladhar Bheinn,1020,57.075263,-5.591745,NG824039
Liathach-Mullach an Rathain,1023,57.560891,-5.49255,NG911576
Liathach-Spidean a' Choire Leith,1055,57.564198,-5.463592,NG929579
Lochnagar-Cac Carn Beag,1156,56.960263,-3.245261,NO243861
Luinne Bheinn,939,57.048325,-5.513607,NG869007
Lurg Mhor,987,57.413091,-5.22365,NH064404
Mam Sodhail,1179.4,57.279801,-5.120267,NH120253
Maoile Lunndaidh,1004.9,57.464477,-5.111002,NH135458
Maol Chean-dearg,933,57.491697,-5.465549,NG924499
Maol Chinn-dearg,980.3,57.12756,-5.252651,NH032087
Mayar,928,56.848936,-3.246316,NO240737
Meall a' Bhuiridh,1107.9,56.612217,-4.852127,NN250503
Meall a' Choire Leith,925.6,56.566312,-4.259625,NN612438
Meall a' Chrasgaidh,934,57.712866,-5.048742,NH184733
Meall Buidhe,946,57.031552,-5.546334,NM848989
Meall Buidhe,932.1,56.617222,-4.44864,NN498499
Meall Chuaich,951,56.963859,-4.112569,NN716878
Meall Corranaich,1069,56.540946,-4.253469,NN615410
Meall Garbh,1123.1,56.566122,-4.207707,NN644437
Meall Garbh,968,56.637381,-4.207472,NN647516
Meall Ghaordaidh,1039.8,56.525809,-4.416654,NN514397
Meall Glas,959,56.455712,-4.546821,NN431321
Meall Gorm,949,57.680846,-4.983802,NH221695
Meall Greigh,1001,56.567426,-4.159559,NN674438
Meall na Aighean,981,56.620618,-4.12874,NN694496
Meall na Teanga,918,56.989003,-4.930938,NN220924
Meall nan Ceapraichean,977,57.798505,-4.934011,NH257825
Meall nan Eun,928,56.561177,-4.942893,NN192449
Meall nan Tarmachan,1043.5,56.521655,-4.301343,NN585389
Monadh Mor,1113,57.026791,-3.750086,NN938942
Moruisg,928,57.499712,-5.17063,NH101499
Mount Keen,939,56.969751,-2.973622,NO409869
Mullach Clach a' Bhlair,1019,57.011879,-3.841271,NN882927
Mullach Coire Mhic Fhearchair,1015.2,57.709022,-5.271342,NH052735
Mullach Fraoch-choire,1102,57.205379,-5.155652,NH094171
Mullach na Dheiragain,982,57.283399,-5.18635,NH080259
Mullach nan Coirean,939.3,56.749866,-5.072446,NN122662
Na Gruagaichean,1054.2,56.743687,-4.939875,NN203652
Ruadh Stac Mor,918.7,57.726781,-5.329288,NH018756
Sail Chaorainn (Sail Chaoruinn),1002,57.191805,-5.091081,NH133154
Saileag,956,57.181273,-5.281332,NH017148
Schiehallion,1083,56.666933,-4.100229,NN713547
Seana Bhraigh,926,57.84733,-4.89662,NH281878
Sgairneach Mhor,991,56.828447,-4.297792,NN598731
Sgiath Chuil,920,56.453149,-4.495653,NN462317
Sgor an Lochain Uaine,1258,57.058369,-3.725797,NN954976
Sgor Gaibhre,955,56.772544,-4.546498,NN444674
Sgor Gaoith,1118,57.068561,-3.810856,NN903989
Sgorr Ruadh,960.7,57.498622,-5.407747,NG959505
Sgurr a' Bhealaich Dheirg,1036,57.177825,-5.252177,NH035143
Sgurr a' Chaorachain,1053,57.452492,-5.1893,NH087447
Sgurr a' Choire Ghlais,1083,57.444288,-4.903757,NH258430
Sgurr a' Ghreadaidh,973,57.227304,-6.234424,NG445231
Sgurr a' Mhadaidh,918,57.230868,-6.231947,NG446235
Sgurr a' Mhaim,1099,56.75592,-5.00369,NN164667
Sgurr a' Mhaoraich,1027,57.105573,-5.330434,NG983065
Sgurr Alasdair,992,57.206598,-6.224144,NG450207
Sgurr an Doire Leathain,1010,57.13687,-5.281531,NH015098
Sgurr an Lochain,1004,57.141232,-5.297527,NH005104
Sgurr Ban,989,57.718538,-5.265903,NH055745
Sgurr Breac,999,57.692067,-5.091724,NH158711
Sgurr Choinnich,999.2,57.451026,-5.207916,NH076446
Sgurr Choinnich Mor,1094,56.80043,-4.90396,NN227714
Sgurr Dearg-Inaccessible Pinnacle,986,57.21327,-6.234819,NG444215
Sgurr Dubh Mor,944,57.204894,-6.211421,NG457205
Sgurr Eilde Mor,1010,56.750015,-4.895436,NN230657
Sgurr Fhuar-thuill,1049,57.44968,-4.94178,NH235437
Sgurr Fhuaran,1068.7,57.19615,-5.34765,NG978166
Sgurr Mhic Choinnich,948,57.208973,-6.224101,NG450210
Sgurr Mor,1108,57.700133,-5.016765,NH203718
Sgurr Mor,1003,57.028437,-5.354188,NM965980
Sgurr na Banachdich,965,57.220972,-6.241638,NG440224
Sgurr na Carnach,1002,57.189034,-5.349224,NG977158
Sgurr na Ciche,1040,57.013452,-5.456854,NM902966
Sgurr na Ciste Duibhe,1027,57.180924,-5.337134,NG984149
Sgurr na h-Ulaidh (Sgor na h-Ulaidh),994,56.619787,-5.080059,NN111517
Sgurr na Lapaich,1151,57.369311,-5.059726,NH161351
Sgurr na Ruaidhe,993,57.441497,-4.852465,NH289426
Sgurr na Sgine,946,57.147098,-5.396634,NG946113
Sgurr nan Ceathreamhnan (Sgurr nan Ceathramhnan),1151,57.254911,-5.222732,NH057228
Sgurr nan Clach Geala,1093,57.696287,-5.048238,NH184714
Sgurr nan Coireachan,956,56.935728,-5.448551,NM902880
Sgurr nan Coireachan,953,57.007158,-5.40544,NM933958
Sgurr nan Conbhairean,1109,57.177621,-5.095424,NH129138
Sgurr nan Each,923,57.681017,-5.046351,NH184697
Sgurr nan Eag,926.2,57.19581,-6.211264,NG457195
Sgurr nan Gillean,964,57.248278,-6.193133,NG471253
Sgurr Thuilm,963,56.937056,-5.389207,NM939879
Slioch,981,57.667176,-5.347047,NH004690
Spidean Mialach,996,57.088964,-5.193614,NH065043
Sron a' Choire Ghairbh,937,57.00784,-4.928747,NN222945
Stob a' Choire Mheadhoin,1105,56.823685,-4.760183,NN316736
Stob a' Choire Odhair,945,56.573308,-4.838302,NN257459
Stob Ban,999.7,56.743706,-5.030328,NN147654
Stob Ban,977,56.810647,-4.840876,NN266723
Stob Binnein,1165,56.370717,-4.535753,NN434227
Stob Choire Claurigh,1177,56.823786,-4.849624,NN261738
Stob Coir' an Albannaich,1044,56.554921,-4.97981,NN169443
Stob Coire a' Chairn,981.4,56.750744,-4.969025,NN185660
Stob Coire an Laoigh,1116,56.810877,-4.884891,NN239725
Stob Coire Easain,1115,56.818199,-4.77371,NN308730
Stob Coire Sgreamhach,1072,56.638322,-5.010285,NN154536
Stob Coire Sgriodain,979,56.831745,-4.694918,NN356743
Stob Daimh (Stob Diamh),999.2,56.431327,-5.091319,NN094308
Stob Ghabhar,1090,56.568103,-4.882099,NN230455
Stob Poite Coire Ardair,1054,56.964037,-4.585745,NN428888
Stuc a' Chroin,975,56.329315,-4.237533,NN617174
Stuchd an Lochain (Stuc an Lochain),960,56.570907,-4.470602,NN483448
The Cairnwell,933,56.879502,-3.421198,NO134773
The Devil's Point,1004,57.035728,-3.688788,NN976951
The Saddle,1011.4,57.162395,-5.414721,NG936131
Toll Creagach,1054,57.309227,-4.999953,NH194282
Tolmount,958,56.904725,-3.297929,NO210800
Tom a' Choinich,1112,57.299518,-5.048959,NH164273
Tom Buidhe,957,56.893615,-3.292356,NO213787
